voltage,label
1.1075598102780724,1
1.6944296240940813,1
2.263389924472648,1
2.7977505521706676,1
3.2830792811821166,1
3.7081089415496327,1
4.065378376547587,1
4.351530261845348,1
4.567234906146159,1
4.716767067142333,1
4.807310821907687,1
4.848094449666887,1
4.8494634734173845,1
4.821990542537836,1
4.775701291417052,1
4.719470598189529,1
4.660617773208684,1
4.6047051039616145,1
4.555523888524542,1
4.515236761307084,1
4.484635189651862,1
4.463466373438182,1
4.450783892509441,1
4.4452805650926805,1
4.4455692531876965,1
4.450386908694528,1
4.458708147272738,1
4.4697662932954785,1
4.482991534663438,1
4.497887096734838,1
4.51387451843794,1
4.530145978975691,1
4.54556072630277,1
4.558611108970045,1
4.567465782748896,1
4.570082480615995,1
4.564375265915787,1
4.548419249694271,1
4.520674997334053,1
4.480212663688969,1
4.4269119939376536,1
4.361610943251532,1
4.2861761293735645,1
4.203473284410465,1
4.117221887239271,1
4.0317227796086605,1
3.951455417662707,1
3.880561501318088,1
3.822267771916086,1
3.778344442716674,1
3.748725561403183,1
3.731406822486002,1
3.722674132226832,1
3.7176251452022933,1
3.710869990026621,1
3.6972680178472817,1
3.672573348231574,1
3.6339003417755147,1
3.5799613524420457,1
3.511068680667573,1
3.428933016578792,1
3.33632534403471,1
3.2366794313343483,1
3.133688305370068,1
3.030912823782603,1
2.931410911383239,1
2.837421461595064,1
2.7501656599144693,1
2.6698225609937527,1
2.595687920166944,1
2.5264620198963206,1
2.4605724873038914,1
2.3964464426307024,1
2.3326936577125132,1
2.268214044539734,1
2.2022689039874153,1
2.1345488659273912,1
2.065243290819371,1
1.995086479415205,1
1.925345366488507,1
1.8577265598660793,1
1.7942052150488288,1
1.7367991385946409,1
1.687321507544264,1
1.6471437742333863,1
1.616990170476201,1
1.5967742473263702,1
1.5854832250090494,1
1.5811197090935571,1
1.5807188662278622,1
1.5804648106021788,1
1.5759254066304302,1
1.5624077497845277,1
1.5354116093930916,1
1.4911332879518648,1
1.4269549919401467,1
1.3418479822099114,1
